Date,High,Low,Open,Close,Volume
2020-09-14 06:21:00,203.5,203.5,203.5,203.5,0
2020-09-14 06:23:00,203.53,203.5,203.53,203.5,0
2020-09-14 06:27:00,203.41,203.41,203.41,203.41,0
2020-09-14 06:28:00,203.48,203.48,203.48,203.48,0
2020-09-14 06:30:00,203.5,203.5,203.5,203.5,0
2020-09-14 06:31:00,203.6,203.6,203.6,203.6,0
2020-09-14 06:37:00,203.8,203.78,203.78,203.8,0
2020-09-14 06:38:00,203.65,203.65,203.65,203.65,0
2020-09-14 06:42:00,203.9,203.83,203.89,203.83,0
2020-09-14 06:45:00,204.0,204.0,204.0,204.0,0
2020-09-14 06:46:00,204.0,204.0,204.0,204.0,0
2020-09-14 06:53:00,204.69,204.24,204.24,204.69,0
2020-09-14 06:54:00,204.77,204.77,204.77,204.77,0
2020-09-14 06:58:00,204.52,204.5,204.52,204.5,0
2020-09-14 07:00:00,204.5,203.75,204.38,203.75,0
2020-09-14 07:01:00,204.0,203.75,203.9,203.75,0
2020-09-14 07:02:00,203.76,203.5,203.62,203.5,0
2020-09-14 07:03:00,203.58,203.3,203.5,203.4,0
2020-09-14 07:04:00,203.58,203.4,203.58,203.5,0
2020-09-14 07:05:00,203.95,203.48,203.48,203.94,0
2020-09-14 07:06:00,204.04,203.8,203.8,203.99,0
2020-09-14 07:07:00,203.9,203.74,203.75,203.74,0
2020-09-14 07:09:00,203.81,203.6,203.81,203.71,0
2020-09-14 07:10:00,203.76,203.69,203.69,203.75,0
2020-09-14 07:11:00,203.78,203.75,203.77,203.75,0
2020-09-14 07:12:00,203.9,203.75,203.75,203.9,0
2020-09-14 07:13:00,203.9,203.85,203.85,203.9,0
2020-09-14 07:14:00,203.95,203.9,203.9,203.95,0
2020-09-14 07:15:00,203.95,203.9,203.94,203.9,0
2020-09-14 07:16:00,203.9,203.9,203.9,203.9,0
2020-09-14 07:17:00,203.91,203.91,203.91,203.91,0
2020-09-14 07:18:00,203.94,203.9,203.9,203.94,0
2020-09-14 07:19:00,203.9,203.9,203.9,203.9,0
2020-09-14 07:20:00,203.86,203.76,203.86,203.76,0
2020-09-14 07:21:00,203.76,203.64,203.75,203.64,0
2020-09-14 07:22:00,203.65,203.64,203.64,203.65,0
2020-09-14 07:23:00,203.76,203.74,203.76,203.74,0
2020-09-14 07:24:00,203.62,203.53,203.62,203.6,0
2020-09-14 07:25:00,203.75,203.69,203.69,203.75,0
2020-09-14 07:26:00,203.75,203.61,203.75,203.61,0
2020-09-14 07:27:00,203.63,203.6,203.6,203.63,0
2020-09-14 07:28:00,203.65,203.65,203.65,203.65,0
2020-09-14 07:29:00,203.62,203.61,203.62,203.61,0
2020-09-14 07:30:00,203.61,203.5,203.61,203.5,0
2020-09-14 07:31:00,203.4,203.39,203.4,203.39,0
2020-09-14 07:32:00,203.35,203.3,203.31,203.31,0
2020-09-14 07:33:00,203.31,203.22,203.31,203.3,0
2020-09-14 07:34:00,203.29,203.26,203.26,203.29,0
2020-09-14 07:35:00,203.37,203.3,203.31,203.37,0
2020-09-14 07:36:00,203.33,203.3,203.33,203.3,0
2020-09-14 07:37:00,203.4,203.3,203.38,203.35,0
2020-09-14 07:39:00,203.31,203.3,203.31,203.3,0
2020-09-14 07:40:00,203.3,203.3,203.3,203.3,0
2020-09-14 07:41:00,203.3,203.22,203.3,203.28,0
2020-09-14 07:42:00,203.18,203.15,203.18,203.15,0
2020-09-14 07:43:00,203.17,203.1,203.17,203.1,0
2020-09-14 07:44:00,203.18,203.03,203.1,203.06,0
2020-09-14 07:45:00,203.07,203.02,203.04,203.04,0
2020-09-14 07:46:00,203.15,203.07,203.07,203.15,0
2020-09-14 07:47:00,203.19,203.03,203.19,203.03,0
2020-09-14 07:48:00,203.1,203.0,203.03,203.1,0
2020-09-14 07:49:00,203.12,203.1,203.12,203.11,0
2020-09-14 07:50:00,203.2,203.19,203.19,203.2,0
2020-09-14 07:51:00,203.11,203.1,203.11,203.1,0
2020-09-14 07:52:00,203.06,203.06,203.06,203.06,0
2020-09-14 07:56:00,203.07,203.03,203.06,203.03,0
2020-09-14 07:57:00,203.0,202.96,203.0,203.0,0
2020-09-14 07:58:00,202.97,202.8,202.97,202.8,0
2020-09-14 07:59:00,202.8,202.75,202.79,202.75,0
2020-09-14 08:00:00,204.12,202.74,203.35,202.74,0
2020-09-14 08:01:00,202.68,202.6,202.68,202.66,0
2020-09-14 08:02:00,202.66,202.54,202.6,202.66,0
2020-09-14 08:03:00,202.75,202.55,202.75,202.55,0
2020-09-14 08:04:00,202.57,202.53,202.57,202.53,0
2020-09-14 08:05:00,202.53,202.35,202.53,202.35,0
2020-09-14 08:06:00,202.59,202.38,202.38,202.5,0
2020-09-14 08:07:00,202.5,202.36,202.5,202.36,0
2020-09-14 08:08:00,202.49,202.4,202.4,202.45,0
2020-09-14 08:09:00,202.5,202.41,202.5,202.41,0
2020-09-14 08:10:00,202.6,202.48,202.54,202.48,0
2020-09-14 08:11:00,202.54,202.54,202.54,202.54,0
2020-09-14 08:12:00,202.6,202.55,202.55,202.6,0
2020-09-14 08:13:00,202.66,202.6,202.6,202.63,0
2020-09-14 08:14:00,202.7,202.63,202.7,202.68,0
2020-09-14 08:15:00,202.7,202.62,202.69,202.7,0
2020-09-14 08:16:00,202.74,202.65,202.7,202.74,0
2020-09-14 08:17:00,202.86,202.75,202.86,202.75,0
2020-09-14 08:18:00,202.93,202.8,202.8,202.93,0
2020-09-14 08:19:00,203.0,202.86,202.86,202.95,0
2020-09-14 08:20:00,203.0,202.97,203.0,202.97,0
2020-09-14 08:21:00,203.0,203.0,203.0,203.0,0
2020-09-14 08:22:00,203.17,203.05,203.17,203.06,0
2020-09-14 08:23:00,203.2,203.01,203.14,203.2,0
2020-09-14 08:24:00,203.25,203.15,203.25,203.15,0
2020-09-14 08:25:00,203.15,203.1,203.1,203.15,0
2020-09-14 08:26:00,203.2,203.15,203.15,203.15,0
2020-09-14 08:27:00,203.2,203.2,203.2,203.2,0
2020-09-14 08:28:00,203.17,203.17,203.17,203.17,0
2020-09-14 08:29:00,203.03,203.0,203.01,203.0,0
2020-09-14 08:30:00,203.1,203.0,203.0,203.0,0
2020-09-14 08:31:00,203.25,203.13,203.13,203.25,0
2020-09-14 08:32:00,203.25,203.16,203.2,203.17,0
2020-09-14 08:33:00,203.18,203.15,203.15,203.18,0
2020-09-14 08:34:00,203.1,203.0,203.1,203.0,0
2020-09-14 08:35:00,203.1,203.0,203.0,203.1,0
2020-09-14 08:37:00,203.16,203.05,203.05,203.16,0
2020-09-14 08:38:00,203.25,203.25,203.25,203.25,0
2020-09-14 08:39:00,203.25,203.09,203.23,203.09,0
2020-09-14 08:40:00,203.2,203.1,203.1,203.2,0
2020-09-14 08:41:00,203.2,203.2,203.2,203.2,0
2020-09-14 08:42:00,203.3,203.3,203.3,203.3,0
2020-09-14 08:43:00,203.35,203.29,203.29,203.35,0
2020-09-14 08:44:00,203.38,203.32,203.38,203.35,0
2020-09-14 08:45:00,203.48,203.37,203.38,203.45,0
2020-09-14 08:46:00,203.43,203.43,203.43,203.43,0
2020-09-14 08:47:00,203.55,203.45,203.45,203.5,0
2020-09-14 08:48:00,203.6,203.45,203.5,203.6,0
2020-09-14 08:49:00,203.62,203.6,203.6,203.62,0
2020-09-14 08:50:00,203.75,203.6,203.75,203.74,0
2020-09-14 08:51:00,203.76,203.51,203.75,203.65,0
2020-09-14 08:52:00,203.81,203.6,203.64,203.69,0
2020-09-14 08:53:00,203.53,203.53,203.53,203.53,0
2020-09-14 08:54:00,203.67,203.6,203.62,203.64,0
2020-09-14 08:55:00,203.74,203.72,203.73,203.72,0
2020-09-14 08:56:00,203.72,203.32,203.72,203.32,0
2020-09-14 08:57:00,203.41,203.09,203.32,203.35,0
2020-09-14 08:58:00,203.25,203.11,203.11,203.25,0
2020-09-14 08:59:00,203.38,203.27,203.27,203.27,0
2020-09-14 09:00:00,203.4,203.25,203.25,203.37,0
2020-09-14 09:01:00,203.48,203.25,203.33,203.44,0
2020-09-14 09:02:00,203.44,203.25,203.44,203.25,0
2020-09-14 09:03:00,203.25,203.08,203.25,203.08,0
2020-09-14 09:04:00,203.07,203.0,203.0,203.06,0
2020-09-14 09:05:00,203.09,203.0,203.0,203.09,0
2020-09-14 09:06:00,203.09,203.0,203.0,203.08,0
2020-09-14 09:07:00,203.4,202.97,203.06,203.03,0
2020-09-14 09:08:00,203.27,203.1,203.22,203.27,0
2020-09-14 09:09:00,203.4,203.27,203.27,203.4,0
2020-09-14 09:10:00,203.5,203.4,203.49,203.4,0
2020-09-14 09:12:00,203.7,203.62,203.62,203.7,0
2020-09-14 09:13:00,203.75,203.66,203.66,203.69,0
2020-09-14 09:14:00,203.75,203.69,203.72,203.72,0
2020-09-14 09:15:00,203.91,203.8,203.8,203.91,0
2020-09-14 09:16:00,203.9,203.85,203.89,203.88,0
2020-09-14 09:17:00,204.0,203.9,203.9,204.0,0
2020-09-14 09:18:00,204.5,204.06,204.1,204.24,0
2020-09-14 09:19:00,204.43,204.24,204.24,204.42,0
2020-09-14 09:20:00,204.43,204.3,204.43,204.39,0
2020-09-14 09:21:00,204.43,204.2,204.2,204.43,0
2020-09-14 09:22:00,204.44,203.9,204.44,203.9,0
2020-09-14 09:23:00,204.24,204.0,204.17,204.2,0
2020-09-14 09:24:00,204.25,204.05,204.2,204.05,0
2020-09-14 09:25:00,204.03,203.99,204.03,204.03,0
2020-09-14 09:26:00,204.33,204.03,204.1,204.33,0
2020-09-14 09:27:00,204.35,204.15,204.35,204.15,0
2020-09-14 09:28:00,204.5,204.22,204.4,204.4,0
2020-09-14 09:29:00,204.44,204.38,204.38,204.38,0
2020-09-14 09:30:00,204.99,204.03,204.24,204.94,1330363
2020-09-14 09:31:00,205.86,204.8,204.94,205.77,267450
2020-09-14 09:34:00,206.32,206.0,206.02,206.16,594584
2020-09-14 09:35:00,206.47,205.67,206.3,205.69,276159
2020-09-14 09:36:00,206.03,205.62,205.71,205.89,136908
2020-09-14 09:37:00,206.2,205.9,205.93,206.02,127309
2020-09-14 09:38:00,206.1,205.74,206.02,205.84,116458
2020-09-14 09:39:00,205.94,205.53,205.88,205.9,103092
2020-09-14 09:40:00,206.31,205.72,205.88,206.29,117732
2020-09-14 09:41:00,206.71,206.26,206.3,206.63,167011
2020-09-14 09:42:00,206.92,206.58,206.65,206.82,153576
2020-09-14 09:43:00,206.9,206.41,206.9,206.44,80336
2020-09-14 09:44:00,207.12,206.32,206.6,207.05,162091
2020-09-14 09:45:00,207.3,206.93,207.11,207.04,122952
2020-09-14 09:46:00,207.47,207.0,207.46,207.44,91495
2020-09-14 09:47:00,207.63,207.26,207.46,207.57,92500
2020-09-14 09:48:00,207.77,207.55,207.56,207.61,108438
2020-09-14 09:49:00,207.74,207.48,207.55,207.64,158842
2020-09-14 09:50:00,207.84,207.61,207.68,207.62,94105
2020-09-14 09:51:00,207.63,207.24,207.62,207.34,116467
2020-09-14 09:52:00,207.53,207.25,207.32,207.43,81445
2020-09-14 09:53:00,207.49,207.22,207.43,207.26,59850
2020-09-14 09:54:00,207.27,206.95,207.24,207.02,127232
2020-09-14 09:55:00,207.19,206.99,207.17,207.16,78492
2020-09-14 09:56:00,207.47,207.19,207.3,207.32,65626
2020-09-14 09:57:00,207.4,207.12,207.33,207.35,61914
2020-09-14 09:58:00,207.44,207.26,207.4,207.4,60956
2020-09-14 09:59:00,207.39,207.21,207.35,207.28,61444
2020-09-14 10:00:00,207.49,206.98,207.31,206.99,97790
2020-09-14 10:01:00,207.25,206.99,207.02,207.18,54009
2020-09-14 10:02:00,207.65,207.18,207.23,207.4,102937
2020-09-14 10:03:00,207.44,207.23,207.38,207.25,84077
2020-09-14 10:04:00,207.35,206.87,207.28,207.33,62257
2020-09-14 10:05:00,207.49,207.26,207.32,207.41,43547
2020-09-14 10:06:00,207.57,207.38,207.43,207.55,65611
2020-09-14 10:07:00,207.58,207.21,207.52,207.45,99015
2020-09-14 10:08:00,207.46,207.28,207.44,207.37,31484
2020-09-14 10:09:00,207.53,207.27,207.41,207.4,54980
2020-09-14 10:10:00,207.48,207.23,207.41,207.41,84790
2020-09-14 10:11:00,207.65,207.4,207.41,207.42,67056
2020-09-14 10:12:00,207.69,207.4,207.4,207.58,64127
2020-09-14 10:13:00,207.71,207.48,207.57,207.69,64682
2020-09-14 10:14:00,207.84,207.65,207.68,207.83,60869
2020-09-14 10:15:00,208.08,207.82,207.83,208.05,139792
2020-09-14 10:16:00,208.1,207.87,208.04,208.05,94801
2020-09-14 10:17:00,208.12,207.91,208.07,207.98,100010
2020-09-14 10:18:00,208.33,207.95,207.99,208.33,110847
2020-09-14 10:19:00,208.55,208.31,208.34,208.5,165176
2020-09-14 10:20:00,208.7,208.35,208.52,208.4,124661
2020-09-14 10:21:00,208.78,208.41,208.43,208.71,91003
2020-09-14 10:22:00,208.76,208.51,208.7,208.64,76443
2020-09-14 10:23:00,208.75,208.47,208.64,208.66,90763
2020-09-14 10:24:00,208.78,208.56,208.71,208.66,76835
2020-09-14 10:25:00,208.67,208.39,208.64,208.52,98206
2020-09-14 10:26:00,208.89,208.5,208.5,208.84,102017
2020-09-14 10:27:00,208.92,208.65,208.87,208.65,89798
